Restaurant,Restaurant Type,Area,District,Start Day,Start Month,Start Year,base on District-# of ppl able to work>15 - 19,base on District-# of ppl able to work>20 - 24,base on District-# of ppl able to work>25 - 29,base on District-# of ppl able to work>30 - 34,base on District-# of ppl able to work>35 - 39,base on District-# of ppl able to work>40 - 44,base on District-# of ppl able to work>45 - 49,base on District-# of ppl able to work>50 - 54,base on District-# of ppl able to work>55 - 59,base on District-# of ppl able to work>60 - 64,base on District-# of ppl able to work>65+,base on Area #of worker location>15 - 19,base on Area #of worker location>20 - 24,base on Area #of worker location>25 - 29,base on Area #of worker location>30 - 34,base on Area #of worker location>35 - 39,base on Area #of worker location>40 - 44,base on Area #of worker location>45 - 49,base on Area #of worker location>50 - 54,base on Area #of worker location>55 - 59,base on Area #of worker location>60 - 64,base on Area #of worker location>65+, total Sales , payment type-cash , payment type-visa/master , payment type-others ,#of transaction,sqf,mthly rent,Location Type
12144,4,3,14,15,2,2018,5239,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"31,217,623","26,801,594","3,296,375","1,119,653",17511.52331,6000,75000,2
10772,4,4,17,12,7,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"29,798,554","27,486,795","1,396,367","915,392",21603.50063,500,56000,2
11432,4,3,12,7,4,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"29,883,719","27,498,961","1,445,033","939,724",19149.36872,500,56000,2
11342,4,3,11,8,6,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"29,904,290","27,474,508","1,196,625","1,233,156",19813.21175,1500,40000,2
12847,4,2,7,26,4,2018,2739,13572,23324,27273,25675,24778,24120,24610,20979,11209,6963,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"29,658,198","27,542,580","728,980","1,386,639",17868.38622,1000,100000,2
10816,4,4,17,24,3,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"30,487,948","27,585,280","1,790,307","1,112,361",22225.57577,1157,32000,2
13038,4,4,16,13,1,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"30,912,578","27,645,941","2,032,952","1,233,684",19512.38242,2350,168000,2
13388,4,1,2,11,5,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"30,844,087","27,608,765","1,733,652","1,501,670",45819.77309,500,30000,2
13710,4,4,16,22,10,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"31,312,891","27,703,129","2,261,703","1,348,059",14878,2000,75000,2
10640,4,4,17,26,2,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"31,380,148","27,712,737","2,300,135","1,367,276",21333.65639,1000,52998,2
10902,4,4,17,31,1,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"31,262,268","27,668,505","1,972,612","1,621,150",19585.42488,1500,40000,2
11408,4,3,12,24,5,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"30,334,422","28,348,843","1,360,452","625,127",20958.3315,500,30000,2
13250,4,2,10,11,3,2018,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"30,492,756","28,384,078","1,501,393","607,285",20063.9406,3000,60000,2
13518,4,3,11,8,9,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"32,022,052","27,804,437","2,666,938","1,550,677",240486.5083,900,95000,2
13420,4,4,18,10,3,2018,3100,15088,27298,32823,31829,30003,28606,29931,25511,13604,7539,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"31,917,950","27,762,174","2,347,288","1,808,488",199228.8291,1000,80000,2
10597,4,2,10,25,2,2018,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"31,521,177","27,847,265","1,677,904","1,996,008",20045.65639,1581,36363,2
13838,4,1,2,5,7,2018,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"32,070,609","27,811,374","2,694,684","1,564,550",14422,3500,50000,2
13550,4,4,16,11,10,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"32,091,972","27,814,426","2,706,892","1,570,654",250475.0833,800,58800,2
13839,4,4,16,26,3,2018,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"31,575,274","27,854,993","1,708,816","2,011,464",14878,2344,60000,2
10594,4,4,17,25,6,2018,4261,21472,35257,41318,40057,42088,44300,43891,33726,18357,10475,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"32,236,183","27,807,636","2,529,136","1,899,412",19924.55639,650,60000,2
13762,4,4,16,23,6,2018,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"31,387,414","28,511,887","2,012,626","862,901",15012,1500,40000,2
12136,4,3,11,22,7,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"32,526,790","27,876,543","2,955,359","1,694,888",17281.47991,1157,32000,2
13538,4,3,12,5,12,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"31,472,211","28,524,000","2,061,082","887,129",241687.4341,960,80000,2
13570,4,3,11,19,8,2018,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"31,542,131","28,533,989","2,101,036","907,106",251676.0091,800,35000,2
13198,4,3,12,19,5,2018,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"33,694,111","28,043,303","3,622,400","2,028,408",18097.38242,450,35000,2
13199,4,3,14,27,5,2018,2739,23811,34052,39449,39503,36771,32908,34818,29743,16807,8575,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"33,198,776","28,086,922","2,636,532","2,475,322",18191.38242,1000,124568,2
13939,4,4,16,26,11,2019,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"1,734,984","971,971","536,596","226,416",15786.79575,1558,71000,3
14157,4,3,12,19,10,2019,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"1,891,858","1,277,364","545,063","69,430",15939.60089,1000,60000,3
14327,4,3,12,3,5,2019,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"2,452,552","1,762,522","396,193","293,837",11822.40981,800,58800,3
14469,4,3,13,22,10,2019,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"2,669,810","1,836,724","428,423","404,663",13263.30022,410,40000,3
14626,4,4,16,13,3,2019,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"2,771,318","2,279,083","473,914","18,321",12529.43721,1298,74000,3
14126,4,1,2,10,3,2019,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"5,050,707","4,132,006","795,751","122,950",15036.27283,1800,63000,3
14482,4,3,13,8,7,2019,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"7,303,513","6,885,635","368,444","49,434",13905.30022,350,60000,3
14042,4,2,10,31,7,2019,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"7,752,322","6,949,750","624,906","177,665",14173.27283,350,60000,3
14141,4,3,12,26,8,2019,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"7,925,055","6,917,393","679,461","328,201",14349.06201,768,55000,3
14143,4,3,12,28,9,2019,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"7,953,999","6,911,438","663,149","379,412",15501.87937,2000,130000,3
13956,4,2,10,27,11,2019,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"9,797,429","8,918,951","448,495","429,984",16004.51151,300,35000,3
14377,4,3,11,4,3,2019,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"1,665,776","1,245,067","415,873","4,836",13077.82315,1000,60000,1
14383,4,3,13,10,4,2019,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"2,489,756","2,162,658","307,111","19,987",12069.25224,2428,125000,1
14059,4,2,10,25,9,2019,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"3,434,967","2,356,209","766,305","312,453",13750.27283,2344,60000,1
14384,4,3,11,6,5,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"3,202,070","2,491,873","562,744","147,452",13424.82375,500,50000,1
14473,4,3,11,14,7,2019,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"3,788,019","2,810,542","692,676","284,801",12918.30022,2000,130000,1
14529,4,3,11,30,5,2019,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"4,051,613","3,092,955","565,335","393,323",13165.14265,1000,80000,1
13929,4,2,10,4,12,2019,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"4,808,570","4,074,771","554,904","178,895",15120.38242,1500,45000,1
14018,4,3,11,29,9,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"4,678,037","4,225,503","413,407","39,127",17321.3452,500,56000,1
14376,4,3,12,9,9,2019,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"1,595,284","1,249,466","340,982","4,836",13172.40981,350,40000,2
14364,4,3,13,17,4,2019,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"2,373,701","1,616,028","588,877","168,796",12726.40981,600,50000,2
14276,4,3,11,22,9,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"2,410,822","1,621,331","610,089","179,402",14087.32617,4993,162000,2
14019,4,3,11,30,6,2019,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"2,482,422","1,766,789","413,262","302,371",17041.75388,900,40000,2
14380,4,3,11,23,9,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"2,659,614","1,921,963","554,291","183,361",13447.53769,1000,52998,2
14205,4,3,12,15,7,2019,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"2,733,446","1,845,815","464,787","422,844",13065.34132,500,25000,2
14119,4,1,2,3,8,2019,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"2,662,807","2,187,380","405,998","69,430",14104.27283,1850,60000,2
14287,4,3,11,5,10,2019,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"2,761,242","2,277,644","468,156","15,442",13664.13051,700,48000,2
14199,4,4,16,7,8,2019,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"2,941,545","2,303,401","571,187","66,957",12435.34132,1000,80000,2
14147,4,3,11,30,6,2019,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"3,169,815","2,318,330","614,790","236,695",15179.51409,500,25000,2
14431,4,4,16,16,4,2019,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"3,138,302","2,505,025","469,016","164,262",12161.5383,500,50000,2
14123,4,2,10,13,9,2019,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"3,247,717","2,520,655","531,539","195,523",13835.27283,148,18900,2
14076,4,3,12,30,6,2019,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"3,449,364","2,527,201","704,055","218,108",13621.27283,1298,74000,2
13903,4,1,2,21,12,2019,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"3,391,179","2,541,150","613,517","236,512",15551.38242,148,18900,2
14212,4,3,11,26,10,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"3,816,652","2,824,276","724,386","267,991",13273.34132,650,60000,2
13905,4,1,2,16,10,2019,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"3,842,663","2,863,499","616,449","362,715",14095.38242,1100,112000,2
13904,4,1,2,22,12,2019,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"4,080,136","2,861,916","874,948","343,272",14196.38242,6000,75000,2
14397,4,4,16,31,5,2019,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"3,691,007","3,041,440","359,274","290,293",13387.25345,700,48000,2
13913,4,1,2,21,8,2019,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"4,007,521","3,086,656","540,139","380,725",15089.38242,600,45000,2
14127,4,1,2,1,5,2019,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"4,468,212","3,665,810","466,782","335,619",13967.27283,3500,106050,2
13907,4,2,10,15,12,2019,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"4,611,674","3,686,305","548,761","376,608",14459.38242,3500,106050,2
14148,4,2,10,29,10,2019,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"4,320,208","3,903,734","231,647","184,827",15425.92277,3000,120000,2
14162,4,4,16,2,9,2019,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"4,803,091","3,814,286","792,943","195,863",15702.64429,6200,90000,2
14013,4,3,11,7,9,2019,2739,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"4,885,486","3,919,614","761,120","204,752",17181.52784,148,18900,2
14149,4,3,12,31,10,2019,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"4,665,108","4,054,277","472,926","137,906",15282.33145,1500,45000,2
14102,4,1,2,16,12,2019,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"4,814,169","3,988,506","568,769","256,895",14665.40192,650,60000,2
13906,4,2,10,26,6,2019,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"5,194,169","4,152,501","877,730","163,939",14517.38242,1800,63000,2
14062,4,4,16,10,12,2019,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"5,049,249","4,278,534","625,528","145,188",14225.27283,950,65000,2
14504,4,3,11,28,12,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"5,734,063","5,284,857","364,865","84,342",13684.30022,4000,100000,2
14226,4,3,12,30,6,2019,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"5,635,173","5,318,084","174,062","143,027",12942.24132,1157,32000,2
14006,4,4,16,21,9,2019,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"5,649,135","5,320,079","182,040","147,016",16630.66708,1157,32000,2
14173,4,4,16,22,12,2019,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"6,480,524","5,947,150","466,417","66,957",14233.91373,403,80000,2
14041,4,1,2,9,9,2019,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"6,754,334","5,986,266","622,880","145,188",13868.27283,380,100000,2
14136,4,3,11,8,10,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"6,626,564","5,984,266","238,761","403,537",14867.27283,600,100000,2
14532,4,3,13,8,5,2019,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"6,814,118","6,011,060","345,935","457,123",13338.85719,1500,40000,2
14130,4,1,2,11,9,2019,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"7,487,171","6,911,872","473,391","101,908",14772.25768,3000,60000,2
14216,4,3,11,17,9,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"7,538,711","6,898,558","401,526","238,627",13115.34132,11692,242000,2
14363,4,3,13,30,6,2019,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"7,727,917","6,879,140","533,960","314,817",12642.40981,2000,130000,2
14611,4,4,16,30,6,2019,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"7,715,745","6,878,128","481,771","355,846",13959.94113,2000,125000,2
14084,4,1,2,28,10,2019,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"7,732,975","6,926,310","512,534","294,131",14542.27283,1500,80000,2
13908,4,2,10,29,6,2019,3595,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"7,802,195","6,936,198","552,088","313,908",15342.38242,500,56000,2
14657,4,3,13,9,5,2019,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"7,953,999","6,911,438","663,149","379,412",12441.43721,800,58800,2
14040,4,3,11,30,6,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"7,923,884","6,953,583","621,625","348,677",14078.27283,2000,75000,2
13965,4,1,2,2,3,2019,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"8,137,176","6,947,696","800,673","388,807",16628.65514,2347,102000,2
14549,4,4,16,5,7,2019,2739,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"8,494,123","8,125,072","246,034","123,017",15015.57295,1500,180000,2
14230,4,4,16,7,10,2019,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"8,969,829","8,521,846","412,845","35,138",13857.34132,800,35000,2
14134,4,3,12,30,6,2019,2505,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"9,514,118","8,887,355","370,915","255,849",15255.54374,650,80000,2
14091,4,1,2,2,5,2019,2739,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"9,515,276","8,912,096","181,285","421,894",13439.11525,730,73000,2
14088,4,1,2,15,10,2019,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"9,659,550","8,899,254","369,707","390,590",14817.40071,960,80000,2
14530,4,3,11,23,3,2019,4354,18173,29953,33373,31685,31071,29136,31025,27405,15274,7978,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"9,701,672","8,914,148","478,089","309,436",14520.71416,1600,98000,2
13958,4,1,2,3,3,2019,764,4412,11704,13651,12217,11470,11180,14171,12825,8906,4709,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"9,726,239","8,917,658","492,127","316,455",16253.65454,900,95000,2
14047,4,2,10,17,8,2019,2739,21808,35885,41212,39462,36801,36029,38640,33573,19023,9549,10656,59251,93201,103923,97648,97804,96617,104372,84884,45005,24839,"9,706,185","8,939,369","290,376","476,440",12742.27283,1000,60000,2
15505,4,3,13,22,6,2020,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"410,875","254,576","102,579","53,720",3754.735365,2347,102000,3
15450,4,1,1,13,4,2020,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"510,330","291,551","137,631","81,149",3555.095754,3000,60000,3
15346,4,3,13,2,6,2020,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"631,001","286,022","228,366","116,613",3629.415338,600,100000,3
15291,4,3,13,30,6,2020,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"650,330","311,551","217,631","121,149",3340.378091,900,85000,3
15347,4,3,13,30,6,2020,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"747,849","396,592","227,951","123,307",3507.665363,1000,63000,3
15443,4,3,12,23,4,2020,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"807,841","507,735","230,437","69,669",3398.666789,148,18900,3
15357,4,3,12,30,6,2020,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"1,142,452","645,148","377,320","119,983",3505.98327,500,25000,3
15543,4,1,1,9,7,2020,2739,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"1,063,855","857,778","151,073","55,004",2807.12752,500,48000,3
15300,4,3,13,1,6,2020,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"1,354,154","845,144","367,202","141,808",3562.336424,1600,98000,3
14990,4,4,16,30,6,2020,2026,9412,17739,18951,19591,19569,18056,18897,16624,8667,4292,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"1,296,955","895,795","305,624","95,536",3288.578433,2000,73900,3
14698,4,1,1,19,5,2020,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"1,195,591","1,101,154","76,582","17,855",3591.710853,3000,120000,3
14834,4,3,13,1,4,2020,3816,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"1,529,488","1,264,615","199,672","65,200",2842.688022,4000,100000,3
14782,4,1,1,21,6,2020,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"1,675,767","1,456,536","164,874","54,356",4115.680484,500,75000,3
15469,4,3,12,27,4,2020,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"1,727,150","1,459,569","173,128","94,452",3663.2629,1500,45000,3
15101,4,3,12,21,6,2020,2739,11307,20104,21693,19033,21842,18984,20697,18175,9121,5325,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"1,772,419","1,481,147","194,181","97,090",3028.800465,750,30000,3
15151,4,3,13,6,7,2020,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"1,893,124","1,483,279","267,971","141,874",3245.742132,600,40000,3
15163,4,3,13,19,8,2020,2739,17730,27492,29204,29717,30267,29580,29932,25976,14760,6860,9940,49738,76560,76726,77509,80836,81058,89367,74318,36983,17647,"1,942,270","1,480,775","291,696","169,798",3440.337889,403,80000,3
15310,4,1,1,3,7,2020,1437,7360,15356,16824,15935,15211,15656,18261,16013,10811,6670,7594,52722,100196,103701,88991,85597,79974,79720,63725,32838,19425,"1,947,275","1,491,015","298,914","157,346",3291.248873,800,58800,3
